Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY,SPY
Date,,,,,,
2020-01-02,298.57867431640625,324.8699951171875,324.8900146484375,322.5299987792969,323.5400085449219,59151200
2020-01-03,296.3177185058594,322.4100036621094,323.6400146484375,321.1000061035156,321.1600036621094,77709700
2020-01-06,297.4482727050781,323.6400146484375,323.7300109863281,320.3599853515625,320.489990234375,55653900
2020-01-07,296.6118469238281,322.7300109863281,323.5400085449219,322.239990234375,323.0199890136719,40496400
2020-01-08,298.19268798828125,324.45001220703125,325.7799987792969,322.6700134277344,322.94000244140625,68296000
2020-01-09,300.2146911621094,326.6499938964844,326.7300109863281,325.5199890136719,326.1600036621094,48473300
2020-01-10,299.3507385253906,325.7099914550781,327.4599914550781,325.20001220703125,327.2900085449219,53029300
2020-01-13,301.409423828125,327.95001220703125,327.9599914550781,325.9200134277344,326.3900146484375,47086800
2020-01-14,300.94989013671875,327.45001220703125,328.6199951171875,326.8399963378906,327.4700012207031,62832800
2020-01-15,301.62994384765625,328.19000244140625,329.0199890136719,327.260009765625,327.3500061035156,72056600
2020-01-16,304.1390686035156,330.9200134277344,330.9200134277344,329.45001220703125,329.70001220703125,54050300
2020-01-17,305.0857238769531,331.95001220703125,332.17999267578125,330.8500061035156,331.70001220703125,95846000
2020-01-21,304.48828125,331.29998779296875,332.17999267578125,330.82000732421875,330.8999938964844,77742400
2020-01-22,304.52496337890625,331.3399963378906,332.95001220703125,331.1700134277344,332.239990234375,48914900
2020-01-23,304.87420654296875,331.7200012207031,332.1700134277344,329.4100036621094,330.6300048828125,51963000
2020-01-24,302.1630554199219,328.7699890136719,332.5299987792969,327.3599853515625,332.44000244140625,87578400
2020-01-27,297.3195495605469,323.5,325.1199951171875,322.6600036621094,323.0299987792969,84062500
2020-01-28,300.4351806640625,326.8900146484375,327.8500061035156,323.6000061035156,325.05999755859375,63834000
2020-01-29,300.18701171875,326.6199951171875,328.6300048828125,326.3999938964844,328.3800048828125,53888900
2020-01-30,301.1612243652344,327.67999267578125,327.9100036621094,323.5400085449219,324.3599853515625,75491800
2020-01-31,295.6928405761719,321.7300109863281,327.1700134277344,320.7300109863281,327.0,113845600
2020-02-03,297.8893737792969,324.1199951171875,326.1600036621094,323.2200012207031,323.3500061035156,69083000
2020-02-04,302.42962646484375,329.05999755859375,330.010009765625,327.7200012207031,328.07000732421875,62573200
2020-02-05,305.9220275878906,332.8599853515625,333.0899963378906,330.6700134277344,332.2699890136719,65951100
2020-02-06,306.9514465332031,333.9800109863281,334.19000244140625,332.79998779296875,333.9100036621094,50359700
2020-02-07,305.3154602050781,332.20001220703125,333.989990234375,331.6000061035156,332.82000732421875,64139400
2020-02-10,307.59478759765625,334.67999267578125,334.75,331.19000244140625,331.2300109863281,42070000
2020-02-11,308.1278381347656,335.260009765625,337.0199890136719,334.67999267578125,336.1600036621094,54864500
2020-02-12,310.11297607421875,337.4200134277344,337.6499938964844,336.42999267578125,336.8299865722656,43992700
2020-02-13,309.78216552734375,337.05999755859375,338.1199951171875,335.55999755859375,335.8599853515625,54501900
2020-02-14,310.2784423828125,337.6000061035156,337.7300109863281,336.20001220703125,337.510009765625,64582200
2020-02-18,309.4788513183594,336.7300109863281,337.6700134277344,335.2099914550781,336.510009765625,57226200
2020-02-19,310.9585876464844,338.3399963378906,339.0799865722656,337.4800109863281,337.7900085449219,48814700
2020-02-20,309.6811218261719,336.95001220703125,338.6400146484375,333.67999267578125,337.739990234375,74163400
2020-02-21,306.4919128417969,333.4800109863281,335.80999755859375,332.5799865722656,335.4700012207031,113788200
2020-02-24,296.32696533203125,322.4200134277344,333.55999755859375,321.239990234375,323.1400146484375,161088400
2020-02-25,287.34759521484375,312.6499938964844,324.6099853515625,311.69000244140625,323.94000244140625,218913200
2020-02-26,286.2906494140625,311.5,318.1099853515625,310.70001220703125,314.17999267578125,194773800
